site,record,threshold_cm,delta_pp,ci_lo,ci_hi,n_night,n_day,night_pct,day_pct
edmonton,metar_CYEG_AUTUMN,0.5,8.5,3.4,13.7,367,367,40.4,31.9
edmonton,metar_CZVL,0.5,-9.0,-12.1,-6.0,1190,1190,47.6,56.6
edmonton,goes_nearest,0.5,-4.2,-9.0,0.5,605,739,,
edmonton,goes_box3,0.5,-5.7,-10.4,-0.9,605,739,,
edmonton,goes_box5,0.5,-5.1,-9.9,-0.4,605,739,,
edmonton,goes_nearest_west,0.5,-8.0,-12.6,-3.2,597,742,,
edmonton,goes_nearest_west_GOES17,0.5,-9.7,-19.5,0.2,123,177,,
edmonton,goes_nearest_west_GOES18,0.5,-7.5,-12.9,-2.1,474,565,,
edmonton,goes_nearest_SPRING,0.5,-5.5,-14.2,3.3,141,177,,
edmonton,goes_nearest_west_SPRING,0.5,-6.2,-15.7,2.6,142,177,,
edmonton,goes_nearest_SUMMER,0.5,-3.2,-10.9,4.0,236,355,,
edmonton,goes_nearest_west_SUMMER,0.5,-4.9,-12.4,2.8,228,356,,
edmonton,goes_nearest_AUTUMN,0.5,-4.6,-12.5,3.9,228,210,,
edmonton,goes_nearest_west_AUTUMN,0.5,-12.9,-20.9,-4.7,227,212,,
edmonton,goes_nearest_CZVL,0.5,-9.0,-13.7,-4.4,605,739,,
edmonton,human_minus_goes,0.5,16.0,12.6,19.6,605,739,,
edmonton,human_minus_goes_west,0.5,19.3,15.9,22.7,597,742,,
edmonton,auto_dod,0.5,17.6,13.4,21.9,,,,
edmonton,metar_CYEG,1.0,8.8,6.0,11.6,1232,1231,33.6,24.9
edmonton,metar_CYEG_SPRING,1.0,10.4,5.5,15.6,290,290,26.2,15.8
edmonton,metar_CYEG_SUMMER,1.0,8.3,3.9,12.6,551,552,33.6,25.3
edmonton,metar_CYEG_AUTUMN,1.0,8.2,3.4,13.2,390,389,39.3,31.0
edmonton,metar_CZVL,1.0,-9.0,-11.8,-6.0,1232,1231,47.6,56.6
edmonton,goes_nearest,1.0,-4.7,-9.2,-0.1,627,760,,
edmonton,goes_box3,1.0,-6.1,-10.8,-1.5,627,760,,
edmonton,goes_box5,1.0,-5.7,-10.2,-1.2,627,760,,
edmonton,goes_nearest_west,1.0,-8.5,-13.0,-4.0,619,763,,
edmonton,goes_nearest_west_GOES17,1.0,-9.4,-19.6,0.9,124,180,,
edmonton,goes_nearest_west_GOES18,1.0,-8.2,-13.4,-3.2,495,583,,
edmonton,goes_nearest_SPRING,1.0,-5.1,-13.5,3.2,147,187,,
edmonton,goes_nearest_west_SPRING,1.0,-6.1,-14.8,2.5,148,187,,
edmonton,goes_nearest_SUMMER,1.0,-3.2,-10.9,4.0,236,355,,
edmonton,goes_nearest_west_SUMMER,1.0,-4.9,-12.4,2.8,228,356,,
edmonton,goes_nearest_AUTUMN,1.0,-6.0,-13.7,2.1,244,221,,
edmonton,goes_nearest_west_AUTUMN,1.0,-14.1,-22.4,-6.0,243,223,,
edmonton,goes_nearest_CZVL,1.0,-9.4,-13.9,-4.8,627,760,,
edmonton,human_minus_goes,1.0,16.1,12.8,19.4,627,760,,
edmonton,human_minus_goes_west,1.0,19.5,16.2,22.8,619,763,,
edmonton,auto_dod,1.0,17.7,13.7,21.8,,,,
edmonton,metar_CYEG,2.0,8.6,6.0,11.5,1300,1299,33.5,24.9
edmonton,metar_CYEG_WINTER,2.0,-16.1,-70.8,33.3,4,3,21.4,37.5
edmonton,metar_CYEG_SPRING,2.0,10.3,5.5,15.5,314,314,26.5,16.2
edmonton,metar_CYEG_SUMMER,2.0,8.3,3.9,12.6,551,552,33.6,25.3
edmonton,metar_CYEG_AUTUMN,2.0,8.0,2.9,12.6,431,430,38.5,30.6
edmonton,metar_CZVL,2.0,-8.9,-11.6,-5.9,1300,1299,47.4,56.3
edmonton,goes_nearest,2.0,-3.9,-8.5,0.4,675,804,,
edmonton,goes_box3,2.0,-5.3,-9.8,-1.0,675,804,,
edmonton,goes_box5,2.0,-4.7,-9.4,-0.4,675,804,,
edmonton,goes_nearest_west,2.0,-7.8,-12.4,-3.4,664,805,,
edmonton,goes_nearest_west_GOES17,2.0,-9.1,-19.3,0.7,126,183,,
edmonton,goes_nearest_west_GOES18,2.0,-7.3,-11.9,-2.6,538,622,,
edmonton,goes_nearest_WINTER,2.0,53.3,20.0,100.0,3,2,,
edmonton,goes_nearest_west_WINTER,2.0,25.8,8.3,42.5,4,2,,
edmonton,goes_nearest_SPRING,2.0,-5.4,-13.6,2.7,153,196,,
edmonton,goes_nearest_west_SPRING,2.0,-5.7,-14.2,2.7,154,196,,
edmonton,goes_nearest_SUMMER,2.0,-3.2,-10.9,4.0,236,355,,
edmonton,goes_nearest_west_SUMMER,2.0,-4.9,-12.4,2.8,228,356,,
edmonton,goes_nearest_AUTUMN,2.0,-3.7,-10.8,3.9,283,254,,
edmonton,goes_nearest_west_AUTUMN,2.0,-11.7,-19.0,-4.0,278,254,,
edmonton,goes_nearest_CZVL,2.0,-9.2,-13.7,-4.9,675,804,,
edmonton,human_minus_goes,2.0,15.1,12.0,18.3,675,804,,
edmonton,human_minus_goes_west,2.0,18.5,15.3,21.8,664,805,,
edmonton,auto_dod,2.0,17.5,13.3,21.4,,,,
edmonton,metar_CYEG,5.0,8.7,6.1,11.1,1398,1397,32.8,24.2
edmonton,metar_CYEG_WINTER,5.0,-5.9,-22.6,11.3,30,29,22.2,28.2
edmonton,metar_CYEG_SPRING,5.0,11.9,7.3,16.8,351,351,27.2,15.3
edmonton,metar_CYEG_SUMMER,5.0,8.3,3.9,12.6,551,552,33.6,25.3
edmonton,metar_CYEG_AUTUMN,5.0,7.7,2.9,12.2,466,465,36.9,29.3
edmonton,metar_CZVL,5.0,-8.7,-11.5,-6.0,1398,1397,46.7,55.4
edmonton,goes_nearest,5.0,-3.4,-7.6,0.9,749,862,,
edmonton,goes_box3,5.0,-4.9,-9.1,-0.5,749,862,,
edmonton,goes_box5,5.0,-4.3,-8.5,-0.0,749,862,,
edmonton,goes_nearest_west,5.0,-7.2,-11.3,-2.9,736,863,,
edmonton,goes_nearest_west_GOES17,5.0,-7.8,-17.3,2.1,132,191,,
edmonton,goes_nearest_west_GOES18,5.0,-7.0,-11.9,-2.1,604,672,,
edmonton,goes_nearest_WINTER,5.0,8.1,-16.0,31.2,30,20,,
edmonton,goes_nearest_west_WINTER,5.0,2.1,-21.3,24.3,31,20,,
edmonton,goes_nearest_SPRING,5.0,-2.6,-10.9,5.2,179,221,,
edmonton,goes_nearest_west_SPRING,5.0,-3.1,-11.0,4.6,178,221,,
edmonton,goes_nearest_SUMMER,5.0,-3.2,-10.9,4.0,236,355,,
edmonton,goes_nearest_west_SUMMER,5.0,-4.9,-12.4,2.8,228,356,,
edmonton,goes_nearest_AUTUMN,5.0,-4.1,-11.5,3.2,304,269,,
edmonton,goes_nearest_west_AUTUMN,5.0,-12.1,-19.3,-5.4,299,269,,
edmonton,goes_nearest_CZVL,5.0,-9.4,-13.5,-5.3,749,862,,
edmonton,human_minus_goes,5.0,13.9,10.8,16.8,749,862,,
edmonton,human_minus_goes_west,5.0,17.5,14.5,20.4,736,863,,
edmonton,auto_dod,5.0,17.4,13.5,21.2,,,,
