site,family,station,footprint,window,n_nights,n_days,n_draws_night,n_draws_day,night_pct,day_pct,delta_pp,ci_lo,ci_hi
toronto,east,CYYZ,box3,summer,437,526,5000,5000,55.6,47.0,8.7,3.3,14.1
toronto,east,CYYZ,box3,autumn,506,473,5000,5000,39.0,37.5,1.6,-3.6,6.9
toronto,east,CYYZ,box5,full,1909,1965,5000,5000,38.0,34.3,3.7,1.0,6.3
toronto,east,CYYZ,box5,calendar_JunNov,943,999,5000,5000,46.9,42.2,4.7,0.9,8.5
toronto,east,CYYZ,box5,winter,507,453,5000,5000,21.1,19.1,2.0,-2.4,6.5
toronto,east,CYYZ,box5,spring,459,513,5000,5000,38.5,32.5,6.1,0.5,11.7
toronto,east,CYYZ,box5,summer,437,526,5000,5000,55.6,46.6,9.0,3.5,14.4
toronto,east,CYYZ,box5,autumn,506,473,5000,5000,39.4,37.2,2.2,-3.1,7.5
vancouver,east,CYVR,nearest,full,1898,1921,5000,5000,31.5,33.0,-1.5,-4.2,1.2
vancouver,east,CYVR,nearest,calendar_JunNov,912,986,5000,5000,43.0,43.4,-0.5,-4.5,3.5
vancouver,east,CYVR,nearest,winter,510,421,5000,5000,10.8,12.4,-1.6,-5.3,1.8
vancouver,east,CYVR,nearest,spring,476,514,5000,5000,31.6,29.8,1.8,-3.4,7.1
vancouver,east,CYVR,nearest,summer,407,528,5000,5000,58.9,54.6,4.3,-1.1,9.8
vancouver,east,CYVR,nearest,autumn,505,458,5000,5000,30.1,30.6,-0.5,-5.5,4.7
vancouver,east,CYVR,box3,full,1898,1921,5000,5000,30.6,32.0,-1.4,-4.1,1.3
vancouver,east,CYVR,box3,calendar_JunNov,912,986,5000,5000,41.9,41.9,-0.1,-4.0,3.9
vancouver,east,CYVR,box3,winter,510,421,5000,5000,9.7,11.9,-2.2,-5.8,1.3
vancouver,east,CYVR,box3,spring,476,514,5000,5000,31.3,29.5,1.8,-3.5,7.2
vancouver,east,CYVR,box3,summer,407,528,5000,5000,57.5,53.3,4.2,-1.5,9.8
vancouver,east,CYVR,box3,autumn,505,458,5000,5000,29.3,28.9,0.4,-4.6,5.6
vancouver,east,CYVR,box5,full,1898,1921,5000,5000,29.0,30.5,-1.6,-4.2,1.2
vancouver,east,CYVR,box5,calendar_JunNov,912,986,5000,5000,40.3,40.7,-0.5,-4.5,3.6
vancouver,east,CYVR,box5,winter,510,421,5000,5000,8.9,10.1,-1.2,-4.5,2.2
vancouver,east,CYVR,box5,spring,476,514,5000,5000,28.7,27.6,1.1,-4.1,6.5
vancouver,east,CYVR,box5,summer,407,528,5000,5000,56.4,52.1,4.3,-1.4,10.0
vancouver,east,CYVR,box5,autumn,505,458,5000,5000,27.3,27.7,-0.4,-5.5,4.8
vancouver,east,CYXX,nearest,full,1898,1921,5000,5000,29.1,29.2,-0.1,-2.7,2.5
vancouver,east,CYXX,nearest,calendar_JunNov,912,986,5000,5000,38.2,39.4,-1.2,-5.4,2.9
