site,record,threshold_cm,delta_pp,ci_lo,ci_hi,n_night,n_day,night_pct,day_pct
vancouver,goes_box3,5.0,0.8,-2.2,3.6,1687,1791,,
vancouver,goes_box5,5.0,0.2,-2.7,3.1,1687,1791,,
vancouver,goes_nearest_east,5.0,-0.7,-3.4,2.2,1753,1798,,
vancouver,goes_nearest_west_GOES17,5.0,4.0,-0.5,8.2,776,877,,
vancouver,goes_nearest_west_GOES18,5.0,-1.9,-6.1,2.1,911,914,,
vancouver,goes_nearest_WINTER,5.0,2.3,-2.5,6.9,392,317,,
vancouver,goes_nearest_east_WINTER,5.0,0.1,-4.4,4.5,391,318,,
vancouver,goes_nearest_SPRING,5.0,1.1,-4.4,6.7,435,500,,
vancouver,goes_nearest_east_SPRING,5.0,2.0,-3.8,7.4,460,500,,
vancouver,goes_nearest_SUMMER,5.0,6.6,0.8,12.3,379,529,,
vancouver,goes_nearest_east_SUMMER,5.0,3.9,-2.0,9.6,404,531,,
vancouver,goes_nearest_AUTUMN,5.0,3.7,-1.9,9.2,481,451,,
vancouver,goes_nearest_east_AUTUMN,5.0,0.7,-4.5,5.9,498,455,,
vancouver,human_minus_goes,5.0,4.6,2.6,6.5,1687,1790,,
edmonton,metar_CYEG,0.5,8.7,5.6,11.5,1190,1190,33.8,25.1
edmonton,metar_CZVL,0.5,-9.0,-12.1,-6.0,1190,1190,47.6,56.6
edmonton,goes_nearest,0.5,-4.5,-8.3,-0.7,904,1109,,
edmonton,goes_box3,0.5,-5.2,-9.0,-1.4,904,1109,,
edmonton,goes_box5,0.5,-4.8,-8.6,-1.0,904,1109,,
edmonton,goes_nearest_west,0.5,-6.6,-10.5,-2.8,871,1109,,
edmonton,goes_nearest_west_GOES17,0.5,-6.1,-11.4,-0.7,397,544,,
edmonton,goes_nearest_west_GOES18,0.5,-7.5,-12.9,-2.1,474,565,,
edmonton,goes_nearest_SPRING,0.5,-0.9,-8.0,6.5,203,260,,
edmonton,goes_nearest_west_SPRING,0.5,-2.1,-8.9,5.8,202,258,,
edmonton,goes_nearest_SUMMER,0.5,-5.6,-11.6,0.5,356,534,,
edmonton,goes_nearest_west_SUMMER,0.5,-5.0,-10.8,1.2,330,534,,
edmonton,goes_nearest_AUTUMN,0.5,-5.7,-12.3,0.6,344,319,,
edmonton,goes_nearest_west_AUTUMN,0.5,-11.2,-17.7,-4.7,338,321,,
edmonton,goes_nearest_CZVL,0.5,-6.2,-10.0,-2.5,904,1109,,
edmonton,human_minus_goes,0.5,14.9,12.2,17.6,904,1109,,
edmonton,auto_dod,0.5,17.6,13.4,21.9,,,,
edmonton,metar_CYEG,1.0,8.8,6.0,11.6,1232,1231,33.6,24.9
edmonton,metar_CZVL,1.0,-9.0,-11.8,-6.0,1232,1231,47.6,56.6
edmonton,goes_nearest,1.0,-4.5,-8.2,-0.8,940,1145,,
edmonton,goes_box3,1.0,-5.2,-9.0,-1.6,940,1145,,
edmonton,goes_box5,1.0,-4.9,-8.5,-1.2,940,1145,,
edmonton,goes_nearest_west,1.0,-6.7,-10.4,-3.1,905,1145,,
edmonton,goes_nearest_west_GOES17,1.0,-5.5,-10.7,-0.2,410,562,,
edmonton,goes_nearest_west_GOES18,1.0,-8.2,-13.4,-3.2,495,583,,
edmonton,goes_nearest_SPRING,1.0,0.4,-6.3,7.3,217,279,,
edmonton,goes_nearest_west_SPRING,1.0,-1.4,-8.3,5.8,215,277,,
edmonton,goes_nearest_SUMMER,1.0,-5.6,-11.6,0.5,356,534,,
edmonton,goes_nearest_west_SUMMER,1.0,-5.0,-10.8,1.2,330,534,,
edmonton,goes_nearest_AUTUMN,1.0,-6.6,-12.8,0.0,366,336,,
edmonton,goes_nearest_west_AUTUMN,1.0,-11.7,-17.8,-5.8,359,338,,
edmonton,goes_nearest_CZVL,1.0,-6.2,-10.0,-2.4,940,1145,,
edmonton,human_minus_goes,1.0,14.9,12.2,17.5,940,1144,,
edmonton,auto_dod,1.0,17.7,13.7,21.8,,,,
edmonton,metar_CYEG,2.0,8.6,6.0,11.5,1300,1299,33.5,24.9
edmonton,metar_CZVL,2.0,-8.9,-11.6,-5.9,1300,1299,47.4,56.3
edmonton,goes_nearest,2.0,-3.9,-7.6,-0.4,1000,1202,,
edmonton,goes_box3,2.0,-4.6,-8.3,-1.2,1000,1202,,
edmonton,goes_box5,2.0,-4.1,-7.7,-0.6,1000,1202,,
edmonton,goes_nearest_west,2.0,-6.2,-9.7,-2.4,959,1200,,
edmonton,goes_nearest_west_GOES17,2.0,-5.4,-10.4,-0.0,421,578,,
edmonton,goes_nearest_west_GOES18,2.0,-7.3,-11.9,-2.6,538,622,,
edmonton,goes_nearest_WINTER,2.0,40.0,10.0,80.0,4,2,,
edmonton,goes_nearest_west_WINTER,2.0,20.7,4.0,37.3,5,2,,
edmonton,goes_nearest_SPRING,2.0,0.1,-6.5,7.2,235,301,,
edmonton,goes_nearest_west_SPRING,2.0,-1.3,-8.5,5.8,230,299,,
edmonton,goes_nearest_SUMMER,2.0,-5.6,-11.6,0.5,356,534,,
edmonton,goes_nearest_west_SUMMER,2.0,-5.0,-10.8,1.2,330,534,,
edmonton,goes_nearest_AUTUMN,2.0,-4.9,-10.9,1.1,405,369,,
edmonton,goes_nearest_west_AUTUMN,2.0,-10.2,-16.3,-4.3,394,369,,
edmonton,goes_nearest_CZVL,2.0,-6.1,-9.5,-2.5,1000,1202,,
edmonton,human_minus_goes,2.0,14.1,11.7,16.7,1000,1201,,
edmonton,auto_dod,2.0,17.5,13.3,21.4,,,,
edmonton,metar_CYEG,5.0,8.7,6.1,11.1,1398,1397,32.8,24.2
edmonton,metar_CZVL,5.0,-8.7,-11.5,-6.0,1398,1397,46.7,55.4
edmonton,goes_nearest,5.0,-2.9,-6.4,0.6,1095,1279,,
edmonton,goes_box3,5.0,-3.7,-7.2,-0.1,1095,1279,,
edmonton,goes_box5,5.0,-3.2,-6.7,0.3,1095,1279,,
edmonton,goes_nearest_west,5.0,-5.4,-9.0,-1.9,1047,1277,,
edmonton,goes_nearest_west_GOES17,5.0,-4.1,-9.0,1.0,443,605,,
edmonton,goes_nearest_west_GOES18,5.0,-7.0,-11.9,-2.1,604,672,,
edmonton,goes_nearest_WINTER,5.0,6.9,-17.4,30.0,31,20,,
edmonton,goes_nearest_west_WINTER,5.0,1.0,-22.3,23.2,32,20,,
edmonton,goes_nearest_SPRING,5.0,2.5,-3.6,9.3,271,335,,
edmonton,goes_nearest_west_SPRING,5.0,0.9,-5.3,7.4,260,333,,
edmonton,goes_nearest_SUMMER,5.0,-5.6,-11.6,0.5,356,534,,
edmonton,goes_nearest_west_SUMMER,5.0,-5.0,-10.8,1.2,330,534,,
edmonton,goes_nearest_AUTUMN,5.0,-4.0,-9.9,1.8,437,394,,
edmonton,goes_nearest_west_AUTUMN,5.0,-9.8,-15.4,-4.2,425,394,,
edmonton,goes_nearest_CZVL,5.0,-5.4,-8.8,-1.8,1095,1279,,
edmonton,human_minus_goes,5.0,13.0,10.6,15.5,1095,1278,,
edmonton,auto_dod,5.0,17.4,13.5,21.2,,,,
winnipeg,metar_CYWG,0.5,16.9,14.0,19.8,1246,1245,45.0,28.1
winnipeg,goes_nearest,0.5,4.9,1.2,8.6,1010,1151,,
winnipeg,goes_box3,0.5,4.5,0.8,8.3,1010,1151,,
winnipeg,goes_box5,0.5,3.9,0.2,7.8,1010,1151,,
winnipeg,goes_nearest_SPRING,0.5,2.6,-5.6,10.5,228,272,,
winnipeg,goes_nearest_SUMMER,0.5,6.4,0.6,12.5,402,528,,
winnipeg,goes_nearest_AUTUMN,0.5,6.4,0.5,12.9,379,353,,
winnipeg,human_minus_goes,0.5,12.5,9.7,15.3,1010,1151,,
winnipeg,metar_CYWG,1.0,16.8,14.1,19.8,1290,1289,44.5,27.7
winnipeg,goes_nearest,1.0,4.6,0.7,8.3,1048,1190,,
winnipeg,goes_box3,1.0,4.2,0.3,7.9,1048,1190,,
winnipeg,goes_box5,1.0,3.6,-0.3,7.3,1048,1190,,
winnipeg,goes_nearest_SPRING,1.0,1.8,-5.4,9.3,253,298,,
winnipeg,goes_nearest_SUMMER,1.0,6.4,0.6,12.5,402,528,,
winnipeg,goes_nearest_AUTUMN,1.0,6.2,0.3,12.4,392,365,,
winnipeg,human_minus_goes,1.0,12.4,9.8,15.1,1048,1190,,
winnipeg,metar_CYWG,2.0,16.5,13.7,19.3,1342,1341,44.2,27.7
winnipeg,goes_nearest,2.0,4.6,0.9,8.1,1093,1232,,
winnipeg,goes_box3,2.0,4.2,0.5,7.8,1093,1232,,
winnipeg,goes_box5,2.0,3.6,0.0,7.1,1093,1232,,
winnipeg,goes_nearest_WINTER,2.0,8.3,-25.0,37.5,4,3,,
winnipeg,goes_nearest_SPRING,2.0,2.5,-4.4,9.6,271,319,,
winnipeg,goes_nearest_SUMMER,2.0,6.4,0.6,12.5,402,528,,
winnipeg,goes_nearest_AUTUMN,2.0,5.9,-0.3,11.9,416,384,,
winnipeg,human_minus_goes,2.0,12.0,9.5,14.8,1093,1232,,
winnipeg,metar_CYWG,5.0,16.3,13.4,18.9,1453,1452,43.1,26.8
winnipeg,goes_nearest,5.0,5.2,1.8,8.5,1195,1326,,
