site,record,threshold_cm,delta_pp,ci_lo,ci_hi,n_night,n_day,night_pct,day_pct
edmonton,goes_nearest_west_SUMMER,0.5,-6.0,-16.4,4.7,102,178,,
edmonton,goes_nearest_AUTUMN,0.5,-7.8,-18.3,2.7,116,109,,
edmonton,goes_nearest_west_AUTUMN,0.5,-8.2,-18.6,2.3,111,109,,
edmonton,goes_nearest_CZVL,0.5,-0.6,-6.8,5.4,299,370,,
edmonton,human_minus_goes,0.5,12.6,8.3,17.3,299,370,,
edmonton,auto_dod,0.5,17.6,13.4,21.9,,,,
edmonton,metar_CYEG,1.0,8.8,6.0,11.6,1232,1231,33.6,24.9
edmonton,metar_CZVL,1.0,-9.0,-11.8,-6.0,1232,1231,47.6,56.6
edmonton,goes_nearest,1.0,-4.3,-10.4,2.1,313,385,,
edmonton,goes_box3,1.0,-3.5,-9.8,2.8,313,385,,
edmonton,goes_box5,1.0,-3.2,-9.6,3.0,313,385,,
edmonton,goes_nearest_west,1.0,-3.5,-9.8,2.9,286,382,,
edmonton,goes_nearest_west_GOES17,1.0,-3.5,-9.8,2.9,286,382,,
edmonton,goes_nearest_SPRING,1.0,11.7,-0.7,24.4,70,92,,
edmonton,goes_nearest_west_SPRING,1.0,8.5,-4.5,21.3,67,90,,
edmonton,goes_nearest_SUMMER,1.0,-10.3,-20.0,0.1,120,179,,
edmonton,goes_nearest_west_SUMMER,1.0,-6.0,-16.4,4.7,102,178,,
edmonton,goes_nearest_AUTUMN,1.0,-7.9,-18.6,2.2,122,115,,
edmonton,goes_nearest_west_AUTUMN,1.0,-7.4,-17.5,2.8,116,115,,
edmonton,goes_nearest_CZVL,1.0,0.3,-6.1,6.5,313,385,,
edmonton,human_minus_goes,1.0,12.5,7.9,16.7,313,384,,
edmonton,auto_dod,1.0,17.7,13.7,21.8,,,,
edmonton,metar_CYEG,2.0,8.6,6.0,11.5,1300,1299,33.5,24.9
edmonton,metar_CZVL,2.0,-8.9,-11.6,-5.9,1300,1299,47.4,56.3
edmonton,goes_nearest,2.0,-4.1,-10.0,2.0,325,398,,
edmonton,goes_box3,2.0,-3.3,-9.1,2.8,325,398,,
edmonton,goes_box5,2.0,-3.0,-8.5,2.9,325,398,,
edmonton,goes_nearest_west,2.0,-3.4,-9.7,2.8,295,395,,
edmonton,goes_nearest_west_GOES17,2.0,-3.4,-9.7,2.8,295,395,,
edmonton,goes_nearest_SPRING,2.0,10.5,-1.0,22.2,82,105,,
edmonton,goes_nearest_west_SPRING,2.0,7.2,-4.2,19.5,76,103,,
edmonton,goes_nearest_SUMMER,2.0,-10.3,-20.0,0.1,120,179,,
edmonton,goes_nearest_west_SUMMER,2.0,-6.0,-16.4,4.7,102,178,,
edmonton,goes_nearest_AUTUMN,2.0,-7.9,-18.6,2.2,122,115,,
edmonton,goes_nearest_west_AUTUMN,2.0,-7.4,-17.5,2.8,116,115,,
edmonton,goes_nearest_CZVL,2.0,0.2,-5.9,6.2,325,398,,
edmonton,human_minus_goes,2.0,12.2,7.8,16.5,325,397,,
edmonton,auto_dod,2.0,17.5,13.3,21.4,,,,
edmonton,metar_CYEG,5.0,8.7,6.1,11.1,1398,1397,32.8,24.2
edmonton,metar_CZVL,5.0,-8.7,-11.5,-6.0,1398,1397,46.7,55.4
edmonton,goes_nearest,5.0,-2.2,-7.9,3.6,346,417,,
edmonton,goes_box3,5.0,-1.6,-7.3,4.5,346,417,,
edmonton,goes_box5,5.0,-1.1,-6.9,5.0,346,417,,
edmonton,goes_nearest_west,5.0,-2.3,-8.2,3.7,311,414,,
edmonton,goes_nearest_west_GOES17,5.0,-2.3,-8.2,3.7,311,414,,
edmonton,goes_nearest_SPRING,5.0,12.3,2.1,22.9,92,114,,
edmonton,goes_nearest_west_SPRING,5.0,8.8,-2.3,20.1,82,112,,
edmonton,goes_nearest_SUMMER,5.0,-10.3,-20.0,0.1,120,179,,
edmonton,goes_nearest_west_SUMMER,5.0,-6.0,-16.4,4.7,102,178,,
edmonton,goes_nearest_AUTUMN,5.0,-4.1,-14.2,6.0,133,125,,
edmonton,goes_nearest_west_AUTUMN,5.0,-5.2,-15.0,4.8,126,125,,
edmonton,goes_nearest_CZVL,5.0,3.0,-3.2,8.9,346,417,,
edmonton,human_minus_goes,5.0,11.2,7.1,15.5,346,416,,
edmonton,auto_dod,5.0,17.4,13.5,21.2,,,,
winnipeg,metar_CYWG,0.5,16.9,14.0,19.8,1246,1245,45.0,28.1
winnipeg,goes_nearest,0.5,10.4,4.1,16.7,346,393,,
winnipeg,goes_box3,0.5,9.4,2.8,15.6,346,393,,
winnipeg,goes_box5,0.5,8.5,2.1,14.7,346,393,,
winnipeg,goes_nearest_SPRING,0.5,14.2,2.4,25.9,89,106,,
winnipeg,goes_nearest_SUMMER,0.5,11.5,1.5,21.2,137,175,,
winnipeg,goes_nearest_AUTUMN,0.5,8.1,-2.4,18.6,119,112,,
winnipeg,human_minus_goes,0.5,9.5,4.8,14.5,346,393,,
winnipeg,metar_CYWG,1.0,16.8,14.1,19.8,1290,1289,44.5,27.7
winnipeg,goes_nearest,1.0,9.5,3.1,15.2,361,409,,
winnipeg,goes_box3,1.0,8.5,2.1,14.3,361,409,,
winnipeg,goes_box5,1.0,7.7,1.5,13.5,361,409,,
winnipeg,goes_nearest_SPRING,1.0,12.3,0.9,23.6,100,118,,
winnipeg,goes_nearest_SUMMER,1.0,11.5,1.5,21.2,137,175,,
winnipeg,goes_nearest_AUTUMN,1.0,6.7,-4.7,16.7,123,116,,
winnipeg,human_minus_goes,1.0,10.1,5.6,15.1,361,409,,
winnipeg,metar_CYWG,2.0,16.5,13.7,19.3,1342,1341,44.2,27.7
winnipeg,goes_nearest,2.0,8.9,2.7,14.6,377,423,,
winnipeg,goes_box3,2.0,7.8,1.9,13.7,377,423,,
winnipeg,goes_box5,2.0,7.1,1.1,12.9,377,423,,
winnipeg,goes_nearest_SPRING,2.0,11.8,0.8,22.4,104,124,,
winnipeg,goes_nearest_SUMMER,2.0,11.5,1.5,21.2,137,175,,
winnipeg,goes_nearest_AUTUMN,2.0,5.8,-4.6,16.0,134,124,,
winnipeg,human_minus_goes,2.0,10.1,5.6,14.6,377,423,,
winnipeg,metar_CYWG,5.0,16.3,13.4,18.9,1453,1452,43.1,26.8
winnipeg,goes_nearest,5.0,10.5,4.4,16.0,418,457,,
winnipeg,goes_box3,5.0,9.4,3.2,15.0,418,457,,
winnipeg,goes_box5,5.0,8.6,2.6,14.1,418,457,,
winnipeg,goes_nearest_WINTER,5.0,36.2,12.7,57.5,21,13,,
winnipeg,goes_nearest_SPRING,5.0,12.8,1.5,23.5,110,131,,
winnipeg,goes_nearest_SUMMER,5.0,11.5,1.5,21.2,137,175,,
winnipeg,goes_nearest_AUTUMN,5.0,7.8,-1.5,17.1,150,138,,
winnipeg,human_minus_goes,5.0,8.3,4.0,12.6,418,457,,
toronto,metar_CYYZ,0.5,17.1,14.4,19.6,1542,1541,42.1,25.0
toronto,metar_CYTZ,0.5,-1.1,-3.9,1.7,1542,1541,49.7,50.7
toronto,goes_nearest,0.5,9.7,4.1,15.1,445,470,,
toronto,goes_box3,0.5,9.7,4.3,15.0,445,470,,
toronto,goes_box5,0.5,10.1,4.6,15.6,445,470,,
toronto,goes_nearest_WINTER,0.5,27.0,0.0,66.7,3,2,,
toronto,goes_nearest_SPRING,0.5,20.8,10.1,30.8,129,144,,
toronto,goes_nearest_SUMMER,0.5,9.9,0.2,19.1,147,174,,
toronto,goes_nearest_AUTUMN,0.5,1.5,-7.3,10.6,166,150,,
toronto,goes_nearest_CYTZ,0.5,9.9,4.2,15.3,445,470,,
toronto,human_minus_goes,0.5,8.0,4.4,12.0,445,470,,
toronto,auto_dod,0.5,18.2,14.5,22.2,,,,
toronto,metar_CYYZ,1.0,16.8,14.2,19.5,1587,1586,41.5,24.7
toronto,metar_CYTZ,1.0,-1.1,-3.9,1.6,1586,1586,49.0,50.2
toronto,goes_nearest,1.0,9.1,3.6,14.4,452,477,,
toronto,goes_box3,1.0,9.1,3.6,14.3,452,477,,
toronto,goes_box5,1.0,9.5,3.9,14.9,452,477,,
toronto,goes_nearest_WINTER,1.0,20.2,0.0,50.0,4,3,,
toronto,goes_nearest_SPRING,1.0,19.4,9.1,29.6,133,149,,
toronto,goes_nearest_SUMMER,1.0,9.9,0.2,19.1,147,174,,
toronto,goes_nearest_AUTUMN,1.0,0.9,-7.9,10.1,168,151,,
toronto,goes_nearest_CYTZ,1.0,9.8,4.2,15.2,452,477,,
toronto,human_minus_goes,1.0,8.3,4.8,12.0,452,477,,
toronto,auto_dod,1.0,18.0,14.1,21.7,,,,
toronto,metar_CYYZ,2.0,16.5,14.0,18.8,1659,1658,40.7,24.3
toronto,metar_CYTZ,2.0,-0.9,-3.6,1.7,1658,1658,48.2,49.1
toronto,goes_nearest,2.0,8.6,3.1,14.2,464,486,,
toronto,goes_box3,2.0,8.7,3.2,14.3,464,486,,
toronto,goes_box5,2.0,9.1,3.5,14.7,464,486,,
toronto,goes_nearest_WINTER,2.0,11.6,-2.6,29.0,15,8,,
toronto,goes_nearest_SPRING,2.0,18.8,9.0,28.8,134,152,,
toronto,goes_nearest_SUMMER,2.0,9.9,0.2,19.1,147,174,,
toronto,goes_nearest_AUTUMN,2.0,1.0,-7.7,10.6,169,152,,
toronto,goes_nearest_CYTZ,2.0,9.9,4.4,15.4,464,486,,
toronto,human_minus_goes,2.0,8.3,4.8,11.9,464,486,,
toronto,auto_dod,2.0,17.4,13.9,21.1,,,,
toronto,metar_CYYZ,5.0,15.3,12.9,17.5,1844,1842,38.6,23.4
toronto,metar_CYTZ,5.0,-1.5,-4.1,1.1,1843,1842,45.5,47.0
toronto,goes_nearest,5.0,7.8,2.4,13.2,514,527,,
toronto,goes_box3,5.0,8.2,3.1,13.6,514,527,,
toronto,goes_box5,5.0,8.7,3.3,14.0,514,527,,
toronto,goes_nearest_WINTER,5.0,5.2,-7.2,17.6,52,36,,
toronto,goes_nearest_SPRING,5.0,17.9,8.5,27.4,146,163,,
toronto,goes_nearest_SUMMER,5.0,9.9,0.2,19.1,147,174,,
toronto,goes_nearest_AUTUMN,5.0,1.0,-8.4,10.0,170,154,,
toronto,goes_nearest_CYTZ,5.0,9.0,3.4,14.2,514,527,,
toronto,human_minus_goes,5.0,8.0,4.6,11.4,514,527,,
toronto,auto_dod,5.0,16.7,13.2,20.4,,,,
ottawa,metar_CYOW,0.5,14.2,11.4,16.9,1330,1329,36.8,22.7
ottawa,goes_nearest,0.5,9.4,3.7,15.3,390,419,,
ottawa,goes_box3,0.5,10.2,4.3,16.1,390,419,,
ottawa,goes_box5,0.5,10.3,4.4,16.1,390,419,,
ottawa,goes_nearest_SPRING,0.5,9.7,-2.0,21.3,96,111,,
ottawa,goes_nearest_SUMMER,0.5,11.3,2.0,21.1,146,173,,
ottawa,goes_nearest_AUTUMN,0.5,8.6,-0.2,18.1,147,135,,
ottawa,human_minus_goes,0.5,4.0,0.2,7.8,390,419,,
ottawa,metar_CYOW,1.0,14.0,11.3,16.6,1371,1370,36.6,22.6
ottawa,goes_nearest,1.0,9.9,4.1,15.7,405,434,,
ottawa,goes_box3,1.0,10.6,4.8,16.4,405,434,,
ottawa,goes_box5,1.0,10.5,4.5,16.3,405,434,,
ottawa,goes_nearest_SPRING,1.0,10.9,-0.7,22.2,105,122,,
ottawa,goes_nearest_SUMMER,1.0,11.3,2.0,21.1,146,173,,
ottawa,goes_nearest_AUTUMN,1.0,9.2,0.7,18.7,153,139,,
ottawa,human_minus_goes,1.0,3.5,-0.2,7.2,405,434,,
ottawa,metar_CYOW,2.0,13.8,11.3,16.5,1434,1433,36.0,22.2
ottawa,goes_nearest,2.0,10.2,4.3,15.7,427,451,,
ottawa,goes_box3,2.0,10.9,5.2,16.2,427,451,,
ottawa,goes_box5,2.0,10.9,5.1,16.3,427,451,,
ottawa,goes_nearest_WINTER,2.0,32.2,2.2,62.2,10,5,,
ottawa,goes_nearest_SPRING,2.0,10.5,-0.6,22.2,108,125,,
ottawa,goes_nearest_SUMMER,2.0,11.3,2.0,21.1,146,173,,
ottawa,goes_nearest_AUTUMN,2.0,9.2,0.5,18.0,163,148,,
ottawa,human_minus_goes,2.0,2.9,-0.6,6.3,427,451,,
ottawa,metar_CYOW,5.0,13.2,10.8,15.6,1537,1536,35.2,22.0
ottawa,goes_nearest,5.0,10.4,4.7,15.6,451,472,,
ottawa,goes_box3,5.0,11.1,5.5,16.4,451,472,,
ottawa,goes_box5,5.0,11.0,5.4,16.2,451,472,,
ottawa,goes_nearest_WINTER,5.0,22.6,4.9,40.3,26,18,,
ottawa,goes_nearest_SPRING,5.0,10.7,0.3,21.8,112,129,,
ottawa,goes_nearest_SUMMER,5.0,11.3,2.0,21.1,146,173,,
ottawa,goes_nearest_AUTUMN,5.0,9.4,1.0,18.3,168,152,,
ottawa,human_minus_goes,5.0,2.1,-1.1,5.8,451,472,,
montreal,metar_CYUL,0.5,17.1,14.1,19.9,1315,1314,40.6,23.4
montreal,metar_CYHU,0.5,3.6,0.5,6.7,1314,1314,46.4,42.8
montreal,goes_nearest,0.5,16.6,10.6,22.6,390,412,,
montreal,goes_box3,0.5,17.5,11.8,23.4,390,412,,
montreal,goes_box5,0.5,18.1,12.5,24.1,390,412,,
montreal,goes_nearest_WINTER,0.5,43.1,18.1,69.8,8,3,,
montreal,goes_nearest_SPRING,0.5,16.4,3.7,28.7,80,96,,
montreal,goes_nearest_SUMMER,0.5,13.9,4.2,23.4,147,174,,
montreal,goes_nearest_AUTUMN,0.5,20.0,11.2,29.2,155,139,,
montreal,goes_nearest_CYHU,0.5,17.4,11.5,23.3,390,412,,
montreal,human_minus_goes,0.5,2.4,-2.3,7.0,390,412,,
montreal,auto_dod,0.5,13.5,9.4,17.7,,,,
montreal,metar_CYUL,1.0,16.8,14.1,19.6,1348,1347,40.1,23.3
montreal,metar_CYHU,1.0,3.3,0.3,6.3,1347,1347,45.8,42.5
montreal,goes_nearest,1.0,16.1,10.3,21.8,401,423,,
montreal,goes_box3,1.0,17.0,11.2,22.7,401,423,,
montreal,goes_box5,1.0,17.6,11.8,23.4,401,423,,
montreal,goes_nearest_WINTER,1.0,39.5,18.0,64.5,10,4,,
montreal,goes_nearest_SPRING,1.0,15.4,2.1,27.7,84,101,,
montreal,goes_nearest_SUMMER,1.0,13.9,4.2,23.4,147,174,,
montreal,goes_nearest_AUTUMN,1.0,19.3,9.9,28.4,161,144,,
